date,plan,channel,mrr
2024-01-18,SMB,Paid,1653.95
2024-01-18,SMB,Referral,678.22
2024-01-18,Self-serve,Organic,1264.87
2024-01-18,Self-serve,Paid,891.47
2024-01-18,Self-serve,Referral,384.89
2024-01-19,Enterprise,Organic,3085.51
2024-01-19,Enterprise,Paid,1980.19
2024-01-19,Enterprise,Referral,891.98
2024-01-19,SMB,Organic,2194.70
2024-01-19,SMB,Paid,1623.19
2024-01-19,SMB,Referral,684.56
2024-01-19,Self-serve,Organic,1282.97
2024-01-19,Self-serve,Paid,901.22
2024-01-19,Self-serve,Referral,379.11
2024-01-20,Enterprise,Organic,2378.11
2024-01-20,Enterprise,Paid,1620.27
2024-01-20,Enterprise,Referral,678.13
2024-01-20,SMB,Organic,1755.24
2024-01-20,SMB,Paid,1284.27
2024-01-20,SMB,Referral,573.50
2024-01-20,Self-serve,Organic,1047.99
2024-01-20,Self-serve,Paid,727.49
2024-01-20,Self-serve,Referral,315.58
2024-01-21,Enterprise,Organic,2442.96
2024-01-21,Enterprise,Paid,1656.42
2024-01-21,Enterprise,Referral,696.56
2024-01-21,SMB,Organic,1889.12
2024-01-21,SMB,Paid,1296.37
2024-01-21,SMB,Referral,573.80
2024-01-21,Self-serve,Organic,1050.57
2024-01-21,Self-serve,Paid,704.51
2024-01-21,Self-serve,Referral,300.58
2024-01-22,Enterprise,Organic,3177.81
2024-01-22,Enterprise,Paid,2229.09
2024-01-22,Enterprise,Referral,903.46
2024-01-22,SMB,Organic,2327.92
2024-01-22,SMB,Paid,1720.77
2024-01-22,SMB,Referral,683.03
2024-01-22,Self-serve,Organic,1309.59
2024-01-22,Self-serve,Paid,960.18
2024-01-22,Self-serve,Referral,398.93
2024-01-23,Enterprise,Organic,3032.71
2024-01-23,Enterprise,Paid,2112.81
2024-01-23,Enterprise,Referral,919.17
2024-01-23,SMB,Organic,2458.75
2024-01-23,SMB,Paid,1655.88
2024-01-23,SMB,Referral,721.41
2024-01-23,Self-serve,Organic,1265.16
2024-01-23,Self-serve,Paid,942.27
2024-01-23,Self-serve,Referral,394.19
2024-01-24,Enterprise,Organic,2873.19
2024-01-24,Enterprise,Paid,2032.57
2024-01-24,Enterprise,Referral,885.70
2024-01-24,SMB,Organic,2383.25
2024-01-24,SMB,Paid,1559.05
2024-01-24,SMB,Referral,696.49
2024-01-24,Self-serve,Organic,1306.18
2024-01-24,Self-serve,Paid,918.68
2024-01-24,Self-serve,Referral,409.59
2024-01-25,Enterprise,Organic,3035.69
2024-01-25,Enterprise,Paid,2175.12
2024-01-25,Enterprise,Referral,892.08
2024-01-25,SMB,Organic,2275.07
2024-01-25,SMB,Paid,1615.58
2024-01-25,SMB,Referral,702.14
2024-01-25,Self-serve,Organic,1334.79
2024-01-25,Self-serve,Paid,899.20
2024-01-25,Self-serve,Referral,399.41
2024-01-26,Enterprise,Organic,2956.32
2024-01-26,Enterprise,Paid,2210.58
2024-01-26,Enterprise,Referral,930.46
2024-01-26,SMB,Organic,2225.27
2024-01-26,SMB,Paid,1584.83
2024-01-26,SMB,Referral,655.04
2024-01-26,Self-serve,Organic,1281.86
2024-01-26,Self-serve,Paid,922.14
2024-01-26,Self-serve,Referral,405.66
2024-01-27,Enterprise,Organic,2323.74
2024-01-27,Enterprise,Paid,1630.36
2024-01-27,Enterprise,Referral,666.80
2024-01-27,SMB,Organic,1838.75
2024-01-27,SMB,Paid,1252.21
2024-01-27,SMB,Referral,545.53
2024-01-27,Self-serve,Organic,1028.09
2024-01-27,Self-serve,Paid,737.02
2024-01-27,Self-serve,Referral,300.06
2024-01-28,Enterprise,Organic,2275.11
2024-01-28,Enterprise,Paid,1772.31
2024-01-28,Enterprise,Referral,686.38
2024-01-28,SMB,Organic,1790.09
2024-01-28,SMB,Paid,1367.10
2024-01-28,SMB,Referral,603.69
2024-01-28,Self-serve,Organic,1020.53
2024-01-28,Self-serve,Paid,732.22
2024-01-28,Self-serve,Referral,320.56
2024-01-29,Enterprise,Organic,3224.09
2024-01-29,Enterprise,Paid,2082.07
2024-01-29,Enterprise,Referral,912.77
2024-01-29,SMB,Organic,2439.58
2024-01-29,SMB,Paid,1690.56
2024-01-29,SMB,Referral,707.13
2024-01-29,Self-serve,Organic,1356.81
2024-01-29,Self-serve,Paid,914.26
2024-01-29,Self-serve,Referral,405.76
2024-01-30,Enterprise,Organic,3045.92
2024-01-30,Enterprise,Paid,2164.29
2024-01-30,Enterprise,Referral,905.79
2024-01-30,SMB,Organic,2421.91
2024-01-30,SMB,Paid,1722.48
2024-01-30,SMB,Referral,719.78
2024-01-30,Self-serve,Organic,1379.05
2024-01-30,Self-serve,Paid,956.78
2024-01-30,Self-serve,Referral,409.40
2024-01-31,Enterprise,Organic,2953.47
2024-01-31,Enterprise,Paid,2133.24
2024-01-31,Enterprise,Referral,903.00
2024-01-31,SMB,Organic,2495.41
2024-01-31,SMB,Paid,1721.16
2024-01-31,SMB,Referral,712.55
2024-01-31,Self-serve,Organic,1310.98
2024-01-31,Self-serve,Paid,907.85
2024-01-31,Self-serve,Referral,416.89
2024-02-01,Enterprise,Organic,3047.89
2024-02-01,Enterprise,Paid,2147.33
2024-02-01,Enterprise,Referral,859.73
2024-02-01,SMB,Organic,2417.48
2024-02-01,SMB,Paid,1668.87
2024-02-01,SMB,Referral,682.11
2024-02-01,Self-serve,Organic,1325.01
2024-02-01,Self-serve,Paid,948.26
2024-02-01,Self-serve,Referral,403.84
2024-02-02,Enterprise,Organic,2946.07
2024-02-02,Enterprise,Paid,2074.03
2024-02-02,Enterprise,Referral,884.90
2024-02-02,SMB,Organic,2322.23
2024-02-02,SMB,Paid,1689.59
2024-02-02,SMB,Referral,640.10
2024-02-02,Self-serve,Organic,1311.56
2024-02-02,Self-serve,Paid,929.56
2024-02-02,Self-serve,Referral,399.80
2024-02-03,Enterprise,Organic,2377.87
2024-02-03,Enterprise,Paid,1594.58
2024-02-03,Enterprise,Referral,728.51
2024-02-03,SMB,Organic,1967.24
2024-02-03,SMB,Paid,1248.98
2024-02-03,SMB,Referral,575.64
2024-02-03,Self-serve,Organic,1058.22
2024-02-03,Self-serve,Paid,746.75
2024-02-03,Self-serve,Referral,310.50
2024-02-04,Enterprise,Organic,2384.67
2024-02-04,Enterprise,Paid,1751.95
2024-02-04,Enterprise,Referral,735.28
2024-02-04,SMB,Organic,1970.91
2024-02-04,SMB,Paid,1357.81
2024-02-04,SMB,Referral,569.47
2024-02-04,Self-serve,Organic,1126.61
2024-02-04,Self-serve,Paid,759.29
2024-02-04,Self-serve,Referral,329.16
2024-02-05,Enterprise,Organic,3074.81
2024-02-05,Enterprise,Paid,2176.02
2024-02-05,Enterprise,Referral,911.25
2024-02-05,SMB,Organic,2484.62
2024-02-05,SMB,Paid,1629.38
2024-02-05,SMB,Referral,740.89
2024-02-05,Self-serve,Organic,1370.96
2024-02-05,Self-serve,Paid,999.11
2024-02-05,Self-serve,Referral,422.97
2024-02-06,Enterprise,Organic,3277.48
2024-02-06,Enterprise,Paid,2223.11
2024-02-06,Enterprise,Referral,888.35
2024-02-06,SMB,Organic,2412.27
2024-02-06,SMB,Paid,1632.50
2024-02-06,SMB,Referral,713.86
2024-02-06,Self-serve,Organic,1443.84
2024-02-06,Self-serve,Paid,985.34
2024-02-06,Self-serve,Referral,405.68
2024-02-07,Enterprise,Organic,2962.49
2024-02-07,Enterprise,Paid,2140.89
2024-02-07,Enterprise,Referral,883.17
2024-02-07,SMB,Organic,2328.59
2024-02-07,SMB,Paid,1679.07
2024-02-07,SMB,Referral,737.64
2024-02-07,Self-serve,Organic,1382.76
2024-02-07,Self-serve,Paid,885.23
2024-02-07,Self-serve,Referral,411.11
2024-02-08,Enterprise,Organic,3067.26
2024-02-08,Enterprise,Paid,2169.05
2024-02-08,Enterprise,Referral,962.71
2024-02-08,SMB,Organic,2233.15
2024-02-08,SMB,Paid,1636.80
2024-02-08,SMB,Referral,726.81
2024-02-08,Self-serve,Organic,1295.74
2024-02-08,Self-serve,Paid,994.36
2024-02-08,Self-serve,Referral,412.60
2024-02-09,Enterprise,Organic,3084.42
2024-02-09,Enterprise,Paid,2069.55
2024-02-09,Enterprise,Referral,924.44
2024-02-09,SMB,Organic,2414.57
2024-02-09,SMB,Paid,1649.14
2024-02-09,SMB,Referral,706.81
2024-02-09,Self-serve,Organic,1347.74
2024-02-09,Self-serve,Paid,911.59
2024-02-09,Self-serve,Referral,399.29
2024-02-10,Enterprise,Organic,2422.56
2024-02-10,Enterprise,Paid,1723.18
2024-02-10,Enterprise,Referral,752.01
2024-02-10,SMB,Organic,1832.77
2024-02-10,SMB,Paid,1320.04
2024-02-10,SMB,Referral,593.10
2024-02-10,Self-serve,Organic,1057.51
2024-02-10,Self-serve,Paid,738.47
2024-02-10,Self-serve,Referral,326.46
2024-02-11,Enterprise,Organic,2499.60
2024-02-11,Enterprise,Paid,1707.07
2024-02-11,Enterprise,Referral,760.51
2024-02-11,SMB,Organic,1944.84
2024-02-11,SMB,Paid,1360.79
2024-02-11,SMB,Referral,578.29
2024-02-11,Self-serve,Organic,1159.14
2024-02-11,Self-serve,Paid,753.77
2024-02-11,Self-serve,Referral,305.51
2024-02-12,Enterprise,Organic,3290.80
2024-02-12,Enterprise,Paid,2167.61
2024-02-12,Enterprise,Referral,944.96
2024-02-12,SMB,Organic,2537.92
2024-02-12,SMB,Paid,1627.22
2024-02-12,SMB,Referral,705.09
2024-02-12,Self-serve,Organic,1328.39
2024-02-12,Self-serve,Paid,953.52
2024-02-12,Self-serve,Referral,424.15
2024-02-13,Enterprise,Organic,3194.48
2024-02-13,Enterprise,Paid,2219.76
2024-02-13,Enterprise,Referral,903.52
2024-02-13,SMB,Organic,2276.60
2024-02-13,SMB,Paid,1715.08
2024-02-13,SMB,Referral,723.45
2024-02-13,Self-serve,Organic,1417.05
2024-02-13,Self-serve,Paid,999.06
2024-02-13,Self-serve,Referral,421.07
2024-02-14,Enterprise,Organic,3162.52
2024-02-14,Enterprise,Paid,2179.29
2024-02-14,Enterprise,Referral,942.35
2024-02-14,SMB,Organic,2354.05
2024-02-14,SMB,Paid,1674.35
2024-02-14,SMB,Referral,725.73
2024-02-14,Self-serve,Organic,1408.05
2024-02-14,Self-serve,Paid,950.59
2024-02-14,Self-serve,Referral,418.71
2024-02-15,Enterprise,Organic,3072.53
2024-02-15,Enterprise,Paid,2160.42
2024-02-15,Enterprise,Referral,952.29
2024-02-15,SMB,Organic,2264.92
2024-02-15,SMB,Paid,1620.69
2024-02-15,SMB,Referral,690.55
2024-02-15,Self-serve,Organic,1280.18
2024-02-15,Self-serve,Paid,943.98
2024-02-15,Self-serve,Referral,422.25
2024-02-16,Enterprise,Organic,3017.91
2024-02-16,Enterprise,Paid,2143.39
2024-02-16,Enterprise,Referral,943.02
2024-02-16,SMB,Organic,2461.79
2024-02-16,SMB,Paid,1653.81
2024-02-16,SMB,Referral,739.09
2024-02-16,Self-serve,Organic,1356.59
2024-02-16,Self-serve,Paid,923.21
2024-02-16,Self-serve,Referral,398.62
2024-02-17,Enterprise,Organic,2353.31
2024-02-17,Enterprise,Paid,1677.96
2024-02-17,Enterprise,Referral,730.87
2024-02-17,SMB,Organic,1961.61
2024-02-17,SMB,Paid,1410.02
2024-02-17,SMB,Referral,550.80
2024-02-17,Self-serve,Organic,1107.43
2024-02-17,Self-serve,Paid,742.25
2024-02-17,Self-serve,Referral,333.04
2024-02-18,Enterprise,Organic,2457.14
2024-02-18,Enterprise,Paid,1631.94
2024-02-18,Enterprise,Referral,760.66
2024-02-18,SMB,Organic,1883.83
2024-02-18,SMB,Paid,1321.54
2024-02-18,SMB,Referral,557.12
2024-02-18,Self-serve,Organic,1074.85
2024-02-18,Self-serve,Paid,777.31
2024-02-18,Self-serve,Referral,327.04
2024-02-19,Enterprise,Organic,3208.30
2024-02-19,Enterprise,Paid,2248.03
2024-02-19,Enterprise,Referral,990.85
2024-02-19,SMB,Organic,2445.57
2024-02-19,SMB,Paid,1653.05
2024-02-19,SMB,Referral,765.03
2024-02-19,Self-serve,Organic,1397.95
2024-02-19,Self-serve,Paid,1021.44
2024-02-19,Self-serve,Referral,428.47
2024-02-20,Enterprise,Organic,3169.78
2024-02-20,Enterprise,Paid,2250.92
2024-02-20,Enterprise,Referral,1010.57
2024-02-20,SMB,Organic,2629.35
2024-02-20,SMB,Paid,1736.19
2024-02-20,SMB,Referral,746.11
2024-02-20,Self-serve,Organic,1460.02
2024-02-20,Self-serve,Paid,964.93
2024-02-20,Self-serve,Referral,428.55
2024-02-21,Enterprise,Organic,3126.17
2024-02-21,Enterprise,Paid,2210.64
2024-02-21,Enterprise,Referral,915.11
2024-02-21,SMB,Organic,2317.31
2024-02-21,SMB,Paid,1597.42
2024-02-21,SMB,Referral,705.54
2024-02-21,Self-serve,Organic,1371.35
2024-02-21,Self-serve,Paid,964.78
2024-02-21,Self-serve,Referral,441.39
2024-02-22,Enterprise,Organic,3237.80
2024-02-22,Enterprise,Paid,2130.36
2024-02-22,Enterprise,Referral,949.95
2024-02-22,SMB,Organic,2407.65
2024-02-22,SMB,Paid,1691.64
2024-02-22,SMB,Referral,735.29
2024-02-22,Self-serve,Organic,1418.68
2024-02-22,Self-serve,Paid,965.04
2024-02-22,Self-serve,Referral,431.18
2024-02-23,Enterprise,Organic,2974.32
2024-02-23,Enterprise,Paid,2156.29
2024-02-23,Enterprise,Referral,995.95
2024-02-23,SMB,Organic,2411.45
2024-02-23,SMB,Paid,1748.89
2024-02-23,SMB,Referral,720.60
2024-02-23,Self-serve,Organic,1392.66
2024-02-23,Self-serve,Paid,956.54
2024-02-23,Self-serve,Referral,408.54
2024-02-24,Enterprise,Organic,2433.43
2024-02-24,Enterprise,Paid,1766.70
2024-02-24,Enterprise,Referral,728.41
2024-02-24,SMB,Organic,1976.68
2024-02-24,SMB,Paid,1400.76
2024-02-24,SMB,Referral,587.79
2024-02-24,Self-serve,Organic,1097.91
2024-02-24,Self-serve,Paid,785.75
2024-02-24,Self-serve,Referral,329.15
2024-02-25,Enterprise,Organic,2565.88
2024-02-25,Enterprise,Paid,1651.10
2024-02-25,Enterprise,Referral,741.21
2024-02-25,SMB,Organic,1825.27
2024-02-25,SMB,Paid,1297.90
2024-02-25,SMB,Referral,606.19
2024-02-25,Self-serve,Organic,1139.05
2024-02-25,Self-serve,Paid,759.72
2024-02-25,Self-serve,Referral,317.78
2024-02-26,Enterprise,Organic,2928.39
2024-02-26,Enterprise,Paid,2213.29
2024-02-26,Enterprise,Referral,1034.30
2024-02-26,SMB,Organic,2532.59
2024-02-26,SMB,Paid,1720.61
2024-02-26,SMB,Referral,760.46
2024-02-26,Self-serve,Organic,1361.66
2024-02-26,Self-serve,Paid,991.07
2024-02-26,Self-serve,Referral,429.85
2024-02-27,Enterprise,Organic,3211.27
2024-02-27,Enterprise,Paid,2307.18
2024-02-27,Enterprise,Referral,975.86
2024-02-27,SMB,Organic,2554.33
2024-02-27,SMB,Paid,1716.69
2024-02-27,SMB,Referral,771.47
2024-02-27,Self-serve,Organic,1500.85
2024-02-27,Self-serve,Paid,972.50
2024-02-27,Self-serve,Referral,417.85
2024-02-28,Enterprise,Organic,3292.03
2024-02-28,Enterprise,Paid,2202.91
2024-02-28,Enterprise,Referral,989.55
2024-02-28,SMB,Organic,2429.13
2024-02-28,SMB,Paid,1798.49
2024-02-28,SMB,Referral,741.46
2024-02-28,Self-serve,Organic,1417.65
2024-02-28,Self-serve,Paid,1030.95
2024-02-28,Self-serve,Referral,417.44
2024-02-29,Enterprise,Organic,3080.90
2024-02-29,Enterprise,Paid,2189.43
2024-02-29,Enterprise,Referral,964.03
2024-02-29,SMB,Organic,2350.05
2024-02-29,SMB,Paid,1759.13
2024-02-29,SMB,Referral,727.81
2024-02-29,Self-serve,Organic,1457.59
2024-02-29,Self-serve,Paid,915.50
2024-02-29,Self-serve,Referral,412.75
2024-03-01,Enterprise,Organic,2958.09
2024-03-01,Enterprise,Paid,2126.95
2024-03-01,Enterprise,Referral,941.66
2024-03-01,SMB,Organic,2410.31
2024-03-01,SMB,Paid,1683.45
2024-03-01,SMB,Referral,723.53
2024-03-01,Self-serve,Organic,1393.22
2024-03-01,Self-serve,Paid,940.01
2024-03-01,Self-serve,Referral,424.24
2024-03-02,Enterprise,Organic,2570.80
2024-03-02,Enterprise,Paid,1784.87
2024-03-02,Enterprise,Referral,768.83
2024-03-02,SMB,Organic,1977.97
2024-03-02,SMB,Paid,1456.16
2024-03-02,SMB,Referral,586.62
2024-03-02,Self-serve,Organic,1109.99
2024-03-02,Self-serve,Paid,766.49
2024-03-02,Self-serve,Referral,325.68
2024-03-03,Enterprise,Organic,2430.57
2024-03-03,Enterprise,Paid,1720.26
2024-03-03,Enterprise,Referral,755.84
2024-03-03,SMB,Organic,1983.45
2024-03-03,SMB,Paid,1376.74
2024-03-03,SMB,Referral,575.60
2024-03-03,Self-serve,Organic,1152.45
2024-03-03,Self-serve,Paid,802.93
2024-03-03,Self-serve,Referral,335.03
2024-03-04,Enterprise,Organic,3187.85
2024-03-04,Enterprise,Paid,2313.53
2024-03-04,Enterprise,Referral,980.96
2024-03-04,SMB,Organic,2419.11
2024-03-04,SMB,Paid,1766.67
2024-03-04,SMB,Referral,764.66
2024-03-04,Self-serve,Organic,1406.12
2024-03-04,Self-serve,Paid,1017.35
2024-03-04,Self-serve,Referral,414.62
2024-03-05,Enterprise,Organic,3387.42
2024-03-05,Enterprise,Paid,2365.16
2024-03-05,Enterprise,Referral,969.66
2024-03-05,SMB,Organic,2560.74
2024-03-05,SMB,Paid,1644.99
2024-03-05,SMB,Referral,733.57
2024-03-05,Self-serve,Organic,1434.74
2024-03-05,Self-serve,Paid,980.66
2024-03-05,Self-serve,Referral,443.56
2024-03-06,Enterprise,Organic,3393.63
2024-03-06,Enterprise,Paid,2162.13
2024-03-06,Enterprise,Referral,936.40
2024-03-06,SMB,Organic,2507.86
2024-03-06,SMB,Paid,1827.45
2024-03-06,SMB,Referral,719.69
2024-03-06,Self-serve,Organic,1433.65
2024-03-06,Self-serve,Paid,1050.54
2024-03-06,Self-serve,Referral,405.75
2024-03-07,Enterprise,Organic,3083.76
2024-03-07,Enterprise,Paid,2216.38
2024-03-07,Enterprise,Referral,947.08
2024-03-07,SMB,Organic,2555.15
2024-03-07,SMB,Paid,1758.70
2024-03-07,SMB,Referral,708.46
2024-03-07,Self-serve,Organic,1447.38
2024-03-07,Self-serve,Paid,980.45
2024-03-07,Self-serve,Referral,443.95
2024-03-08,Enterprise,Organic,3092.29
2024-03-08,Enterprise,Paid,2164.01
2024-03-08,Enterprise,Referral,960.84
2024-03-08,SMB,Organic,2507.37
2024-03-08,SMB,Paid,1738.95
2024-03-08,SMB,Referral,698.19
2024-03-08,Self-serve,Organic,1423.33
2024-03-08,Self-serve,Paid,950.08
2024-03-08,Self-serve,Referral,423.18
2024-03-09,Enterprise,Organic,2440.79
2024-03-09,Enterprise,Paid,1808.68
2024-03-09,Enterprise,Referral,746.40
2024-03-09,SMB,Organic,1906.78
2024-03-09,SMB,Paid,1417.89
2024-03-09,SMB,Referral,599.24
2024-03-09,Self-serve,Organic,1112.32
2024-03-09,Self-serve,Paid,827.77
2024-03-09,Self-serve,Referral,335.46
2024-03-10,Enterprise,Organic,2556.29
2024-03-10,Enterprise,Paid,1802.10
2024-03-10,Enterprise,Referral,751.91
2024-03-10,SMB,Organic,2014.39
2024-03-10,SMB,Paid,1368.17
2024-03-10,SMB,Referral,588.53
2024-03-10,Self-serve,Organic,1181.44
2024-03-10,Self-serve,Paid,769.72
2024-03-10,Self-serve,Referral,315.86
2024-03-11,Enterprise,Organic,3447.76
2024-03-11,Enterprise,Paid,2478.25
2024-03-11,Enterprise,Referral,974.65
2024-03-11,SMB,Organic,2409.34
2024-03-11,SMB,Paid,1773.90
2024-03-11,SMB,Referral,760.80
2024-03-11,Self-serve,Organic,1453.37
2024-03-11,Self-serve,Paid,989.01
2024-03-11,Self-serve,Referral,446.13
2024-03-12,Enterprise,Organic,3345.98
2024-03-12,Enterprise,Paid,2202.52
2024-03-12,Enterprise,Referral,1008.97
2024-03-12,SMB,Organic,2719.89
2024-03-12,SMB,Paid,1802.73
2024-03-12,SMB,Referral,760.86
2024-03-12,Self-serve,Organic,1457.83
2024-03-12,Self-serve,Paid,1043.76
2024-03-12,Self-serve,Referral,416.42
2024-03-13,Enterprise,Organic,3254.34
2024-03-13,Enterprise,Paid,2240.31
2024-03-13,Enterprise,Referral,1025.37
2024-03-13,SMB,Organic,2505.57
2024-03-13,SMB,Paid,1851.33
2024-03-13,SMB,Referral,730.60
2024-03-13,Self-serve,Organic,1464.63
2024-03-13,Self-serve,Paid,1017.15
2024-03-13,Self-serve,Referral,420.53
2024-03-14,Enterprise,Organic,3260.86
2024-03-14,Enterprise,Paid,2353.11
2024-03-14,Enterprise,Referral,963.63
2024-03-14,SMB,Organic,2394.75
2024-03-14,SMB,Paid,1765.03
2024-03-14,SMB,Referral,736.35
2024-03-14,Self-serve,Organic,1426.79
2024-03-14,Self-serve,Paid,1006.65
2024-03-14,Self-serve,Referral,410.35
2024-03-15,Enterprise,Organic,3033.03
2024-03-15,Enterprise,Paid,2263.54
